post,comment
"$BSSR rups ditunda
Oke pas dividen $PTBA dan $ADRO cair yaaak",insting saya sepertinya pemilik emiten mau bermain api
"$BSSR rups ditunda
Oke pas dividen $PTBA dan $ADRO cair yaaak", $MBAP sy tp 8000 karena cadangan bb udah tipos
"$BSSR rups ditunda
Oke pas dividen $PTBA dan $ADRO cair yaaak","ya mana ada bandar mau rugi,KL BS diturunkan 50% hrga,baru bagi dividen 8%,trs exdate dirampok lg😂"
"$BSSR rups ditunda
Oke pas dividen $PTBA dan $ADRO cair yaaak","Kalo gak yakin lagi, buki aja.😅🤣$BSSR $MBAP"
"$BSSR rups ditunda
Oke pas dividen $PTBA dan $ADRO cair yaaak",lah itu BSSR profit masih ok .apa sengaja ada alat berat produksi yg ada di MBAP dipindah ke tempat BSSR. kalau lihat pinjaman MBAP sudah bisa dilunasi sedangkan BSSR masih perlu waktu panjang jika dilihat dari laba yg diperoleh ? terus terang insting saya mengatakan ada yg tidak beres dengan PEMILIK 👋✋✋✋
"Tahun ini kali pertama mengikuti RUPS emiten di porto, tinggal 1 lagi $BSSR yang belum, rencana sih mau skip dulu.

Yang saya temukan dari ikut RUPS ternyata ""feel"" terhadap emiten yang kita pegang jadi menggebu-gebu bahasa alaynya. Cobalah bagi yang belum pernah merasakannya, anggap saja souvenir adalah bonusnya.

Bagi orang yg bilang ""RUPS hanya berburu goodie bag saja"" . Cobalah kalian sesekali ikutan bagaimana harus bertahan berdiri minimal 1.5 jam saat registrasi belum antri pas mau ambil goodie bag nya juga ngantri lagi.

Contoh saya dari Bogor naik KRL berangkat pukul 05.15 berdiri sampai Stasiun Tebet nyambung naik bus berdiri lagi sampai di tempat nya pas pukul 07.00 , registrasi berdiri lagi dan saat makan pun harus berdiri wkwkwk

Apakah saya menyesal? oh tentu tidak saya jadi tahu ""vibes"" nya RUPS, terutama tadi ADRO yg benar-benar ketat gak boleh ambil foto (saya dapat kupon no93) tapi pas sudah penuh saya lihat udah ada yg bisa foto2. Tapi sesuai dengan pelayanan nya dapet coffee break dapat makan siang juga. Ehemmm beda sih sama BUMN
Intinya, beli emiten yg rajin RUPS dengan souvenir menarik, selain dapet dividen , capital gain juga dapet kenang-kenangan kalo kena DIVIDEN TRAP, candaa

tag
$PTBA $ADRO $ASII
$BBRI",ktp temanggung ya bro? sy ada kebun di daerah kandangan
"Tahun ini kali pertama mengikuti RUPS emiten di porto, tinggal 1 lagi $BSSR yang belum, rencana sih mau skip dulu.

Yang saya temukan dari ikut RUPS ternyata ""feel"" terhadap emiten yang kita pegang jadi menggebu-gebu bahasa alaynya. Cobalah bagi yang belum pernah merasakannya, anggap saja souvenir adalah bonusnya.

Bagi orang yg bilang ""RUPS hanya berburu goodie bag saja"" . Cobalah kalian sesekali ikutan bagaimana harus bertahan berdiri minimal 1.5 jam saat registrasi belum antri pas mau ambil goodie bag nya juga ngantri lagi.

Contoh saya dari Bogor naik KRL berangkat pukul 05.15 berdiri sampai Stasiun Tebet nyambung naik bus berdiri lagi sampai di tempat nya pas pukul 07.00 , registrasi berdiri lagi dan saat makan pun harus berdiri wkwkwk

Apakah saya menyesal? oh tentu tidak saya jadi tahu ""vibes"" nya RUPS, terutama tadi ADRO yg benar-benar ketat gak boleh ambil foto (saya dapat kupon no93) tapi pas sudah penuh saya lihat udah ada yg bisa foto2. Tapi sesuai dengan pelayanan nya dapet coffee break dapat makan siang juga. Ehemmm beda sih sama BUMN
Intinya, beli emiten yg rajin RUPS dengan souvenir menarik, selain dapet dividen , capital gain juga dapet kenang-kenangan kalo kena DIVIDEN TRAP, candaa

tag
$PTBA $ADRO $ASII
$BBRI","wah.. sesama bogor,salam kenal kang."
"Tahun ini kali pertama mengikuti RUPS emiten di porto, tinggal 1 lagi $BSSR yang belum, rencana sih mau skip dulu.

Yang saya temukan dari ikut RUPS ternyata ""feel"" terhadap emiten yang kita pegang jadi menggebu-gebu bahasa alaynya. Cobalah bagi yang belum pernah merasakannya, anggap saja souvenir adalah bonusnya.

Bagi orang yg bilang ""RUPS hanya berburu goodie bag saja"" . Cobalah kalian sesekali ikutan bagaimana harus bertahan berdiri minimal 1.5 jam saat registrasi belum antri pas mau ambil goodie bag nya juga ngantri lagi.

Contoh saya dari Bogor naik KRL berangkat pukul 05.15 berdiri sampai Stasiun Tebet nyambung naik bus berdiri lagi sampai di tempat nya pas pukul 07.00 , registrasi berdiri lagi dan saat makan pun harus berdiri wkwkwk

Apakah saya menyesal? oh tentu tidak saya jadi tahu ""vibes"" nya RUPS, terutama tadi ADRO yg benar-benar ketat gak boleh ambil foto (saya dapat kupon no93) tapi pas sudah penuh saya lihat udah ada yg bisa foto2. Tapi sesuai dengan pelayanan nya dapet coffee break dapat makan siang juga. Ehemmm beda sih sama BUMN
Intinya, beli emiten yg rajin RUPS dengan souvenir menarik, selain dapet dividen , capital gain juga dapet kenang-kenangan kalo kena DIVIDEN TRAP, candaa

tag
$PTBA $ADRO $ASII
$BBRI",saya orang kandangan pak hehe wah boleh tuh pak sy aja yg ngrawatin kebunnya pak hehe
"Tahun ini kali pertama mengikuti RUPS emiten di porto, tinggal 1 lagi $BSSR yang belum, rencana sih mau skip dulu.

Yang saya temukan dari ikut RUPS ternyata ""feel"" terhadap emiten yang kita pegang jadi menggebu-gebu bahasa alaynya. Cobalah bagi yang belum pernah merasakannya, anggap saja souvenir adalah bonusnya.

Bagi orang yg bilang ""RUPS hanya berburu goodie bag saja"" . Cobalah kalian sesekali ikutan bagaimana harus bertahan berdiri minimal 1.5 jam saat registrasi belum antri pas mau ambil goodie bag nya juga ngantri lagi.

Contoh saya dari Bogor naik KRL berangkat pukul 05.15 berdiri sampai Stasiun Tebet nyambung naik bus berdiri lagi sampai di tempat nya pas pukul 07.00 , registrasi berdiri lagi dan saat makan pun harus berdiri wkwkwk

Apakah saya menyesal? oh tentu tidak saya jadi tahu ""vibes"" nya RUPS, terutama tadi ADRO yg benar-benar ketat gak boleh ambil foto (saya dapat kupon no93) tapi pas sudah penuh saya lihat udah ada yg bisa foto2. Tapi sesuai dengan pelayanan nya dapet coffee break dapat makan siang juga. Ehemmm beda sih sama BUMN
Intinya, beli emiten yg rajin RUPS dengan souvenir menarik, selain dapet dividen , capital gain juga dapet kenang-kenangan kalo kena DIVIDEN TRAP, candaa

tag
$PTBA $ADRO $ASII
$BBRI",Sama bang wkwkw. Santai aja mah karna yakin sama BRI
"$ADRO bakal sampe diharga berapa ni bang naiknya ,
Mending TP apa nunggun deviden ya bagusnya",kemarin gw udah TP
