post,comment
"$BSSR rups ditunda
Oke pas dividen $PTBA dan $ADRO cair yaaak",insting saya sepertinya pemilik emiten mau bermain api
"Tahun ini kali pertama mengikuti RUPS emiten di porto, tinggal 1 lagi $BSSR yang belum, rencana sih mau skip dulu.

Yang saya temukan dari ikut RUPS ternyata ""feel"" terhadap emiten yang kita pegang jadi menggebu-gebu bahasa alaynya. Cobalah bagi yang belum pernah merasakannya, anggap saja souvenir adalah bonusnya.

Bagi orang yg bilang ""RUPS hanya berburu goodie bag saja"" . Cobalah kalian sesekali ikutan bagaimana harus bertahan berdiri minimal 1.5 jam saat registrasi belum antri pas mau ambil goodie bag nya juga ngantri lagi.

Contoh saya dari Bogor naik KRL berangkat pukul 05.15 berdiri sampai Stasiun Tebet nyambung naik bus berdiri lagi sampai di tempat nya pas pukul 07.00 , registrasi berdiri lagi dan saat makan pun harus berdiri wkwkwk

Apakah saya menyesal? oh tentu tidak saya jadi tahu ""vibes"" nya RUPS, terutama tadi ADRO yg benar-benar ketat gak boleh ambil foto (saya dapat kupon no93) tapi pas sudah penuh saya lihat udah ada yg bisa foto2. Tapi sesuai dengan pelayanan nya dapet coffee break dapat makan siang juga. Ehemmm beda sih sama BUMN
Intinya, beli emiten yg rajin RUPS dengan souvenir menarik, selain dapet dividen , capital gain juga dapet kenang-kenangan kalo kena DIVIDEN TRAP, candaa

tag
$PTBA $ADRO $ASII
$BBRI",ktp temanggung ya bro? sy ada kebun di daerah kandangan
"$ADRO bakal sampe diharga berapa ni bang naiknya ,
Mending TP apa nunggun deviden ya bagusnya",kemarin gw udah TP
ini insting saya bandar nanti setelah cum date paling banter berani jual ADRO 2610 itu harus di SERBU YA terserah investors aja kalau 2830 mau beli tapi dapat deviden juga aman 2 aja 👍💯✌️🙏, siap...pengen sih di 2400 gitu belinya
"holder $ANTM baru naik seuprit dah pada ngimpi ke 2000 ngoahaha

udah kyk prediksi analis yg ngasal acha ... $INCO ke 3050
ANTM ke 1980 ? ngoahahaha
tp msh mending sih dr pd si parjo yg nebar halu $OKAS ke 3000
segnap pasukan Panda di belantara hutan China sana pun berguling2 tertawa terpingkal2 mendengarnya
ngoahahaha ngoahahaha
skrg mah porto gw terbesar ada di $ADRO , the future company
#gw jg holder ANTM tp emg niat buat nabung dividen

disclaimer
bkn ajax2 sell or buy
dyor", $OKAS ke 3000 ? Ngoahahaha
"$BBRI $BBNI $BBCA $BNGA $BMRI
para ritel kasihani uang kalian jangan terus hajar ndar itu punya uang ngak terbatas sedangkan k ef mampuan kita terbatas mending cari peluang ditempat lain hr ini saya isrng iseng pasang bbva 9200 eh dapat sekarang 9450 kan cuan ntar ssmpai 9600 saya lepas ntar tunggu lagi 9250-9300 knp mesti hajar terus bbri dan bbni ngak ada untungnya krn masih bisa turun lagi mending cari peluang di batu bara atau yg lainnya cuan yg terpenting 😂😁",ya itu bagimu aja kalau bagi investor yang bener bener invest pasti santai aja dan ngeliat aja kalau ini udh saatnya buy dan btw harga bandar semua rata rata di 5000 an 
"$EXCL
Rumor : EXCL Akan TO di Rp3K. Announcement as early as today close.
Let's see","$EXCL gk dalam bet dividen trapnya, masih bisa melambung sudah ex date"
$EXCL bsk ada dividen trap ya?,Trap apaan. Dev cuma 2%. Paling kalau trap 2%. 2 minggu juga balik
MA 50 melewati MA 200 apakah bakalan naik? kira kira kalau naik sampai berapa ya? 😴🧐,"udh golden cross bang, pilihannya naik banget apa naik dikit doakan semoga melesat 6000 kalau q2,q3,q4 net profit konsisten 2 T lebih"
"$PGAS tikusnya kan udh ketangkep tuh, tanamannya harusnya bisa berbuah banyak. gaaaaaaasssss broooohhh 💃💃💃", otw 2000 😁
"Semen, semen apa yang bisa turun tapi ga bisa naik?", ini kenapa ya bisa sampe ngedrop gini harganya ?
$SMGR $INTP mana sekuritas yg ngemeng semen semenan “the worst is over” 🤣🤣🤣,) yg ngomong itu kagak beli 🤣🤣 kalau analis itu yakin tolong tunjukan porto nya berapa lot dia beli 🤣🤣🤣🤣🤣
"aduh ga dikasih $ACES 835 nya, yang dikasih yang 845, besok pantau lagi ndar 🙏","ndar $ACES izin antri 825 yah, makasih 🙏"
Andai $BBCA $BBRI $BMRI $ADRO kalo harga bisa seperti $DSSA udah banyak yg kaya mendadak😂,iya last 2021 sekitaran segitu $BBCA 😂
5800 lagi dong 🤑 🤑 🤑$BMRI,BK top buyer lagi
$BBRI ini kira2 naik lagi gak ya?, naik ke puncak gunung
"$BBRI fearnya kencengin, mau serok bawah🗿",kemaren2 dikasih bawah kaga diserok bang
$BBRI next akan ke mana arah bbri kedepan,hari ini koreksi sehat tutup gap
$BBRI Absen dulu yang nyangkut di 5000 dan 6000,hadirrr
"$BBRI suku bunga gk jd naik, terbang ini saham
$BBNI
$BMRI", terbang ke bawah kek nya
"$BBRI apa masih meragukan Teknikal Analisis? 😁
belajar TA supaya tau kapan masuk kapan keluar. jangan cuma buy buy buy😹",klau ke 3600 enak bgt tuh ane mau all in
$BBRI turunin dong ndar,dikasi turun gak mau masuk kwkw
$BBRI akhirnya ngerasain ijo., berani sekali ambil diharga tinggi
$BBRI besok jumat yagesya,"Makin asik dong, udah liat belum jumat minggu lalu ?"
$BBRI berbahagialah kalian yg serbrut di 4100 an,"Saya di 4,600 aja girang om… apalagi yg di 4,100 👏🏻👏🏻👏🏻👏🏻🎉🎉🎉🎉"
"$BBRI mau nambah bbri lagi, saran dong enak ngebit di harga berapa ya ?", tunggu di 4500 an
$BBRI masih loss,wehhh puncak gunung arjuna bang...semangat
$BBRI $CUAN $BRIS $PANI $ADRO,kesabaran tingkat tinggi 🤣
"$BBRI sepertinya koreksi sedikit, untuk invest jangka panjang saatnya tambah muatan. disc on.", yup...setuju👍
"$BBRI mayanlah, dari minus 20 jt tinggal 5 jt 🗿",Sama bang wkwkw. Santai aja mah karna yakin sama BRI
"$BBRI menurut aku, lebih baik hold, dari pada jual beli jual beli karena dengan cara itu justru bikin rugi di banding di hold 😔","Rugi waktu, rugi tenaga, rugi kena fee."
$BBRI gagal tembus 4930 harusnya turun dulu ga sih?, @Strader ke 4700an dulu
$BBRI rungkad, CL aja omm
 kira² desember-januari bisa kembali ke 6400 ga ya,mana bisa bro wkwkwk 
"swing di $MKAP kena arb, swing di $BRPT malah kekenyangan $CUAN 👺",swing di $KJEN ara
$BRPT ask 1juta,Bandar suka kejar yg tebal
$BRPT kena kasus?, kalo kena kasus wajib d buang da
$BRPT pegangan semuanya to the moon ini,to the basement
$BRPT kerjaan mamang guyur ama CC ini 😂😂, BRPT bukañny yg doyang guyur si BK
$BRPT bisa ara ?,gabisa lah wkwk
$BRPT ini saham apaan sih?,1) Saham sampah
$MAPI nyangkut ngarepin deviden lumayan lah ya,nyangkut di berapa
"$MAPI INI MASIH ADA PROSPEK NAIK NGGA PAK?
saya masuk barusan 1420",aman aman aja malah proyeksi ekonomi kedepan ritel malah bagus karena suku bunga gjtu gitu aja
$MBMA siapa pengendali sebenar nya?,akuuu
$MTEL apa udh masuk dividen nya ?,udah bang
$MTEL tembusin sni,1) moga sesi 2 ngebut lagi
"Original Post
Selamat yg kmaren serok $TOWR di harga 675, ketakutan minus dalem pasca exdate tdk terbukti.

Mulai rebound

random tag : $MTEL $TBIG $GHON $TLKM",kirain ex date bisa ke 700...eh malah terbang LOL
"$MTEL ternyata analisa saya bener terus cuman saya aja yg kurang sabar, contoh MTEL ini ga lama di jual langsung terbang babi babi","Berarti analisanya salah bre🤣, harusnya terbang dulu baru dijual kalo analnya lisa pas."
"$PTBA kenapa ga jadu turunin, berhari2 nungguin di bawah oy", bentar lagi musim dingin bosku
"$PTBA Bersiap untuk PTBA ya teman2. Dah....itu aja.


Salam Dahsyat Cuan Berlimpah Ruah 🫰🤑😁",Siap kemana pak?
jgn naik dulu lah pls..pdhl masih pingin nyerok byk..$PTBA, Kemarin2 kmn aja
$AMRT mudahan turun 1.700,minimal nunggu 3 tahun lagi.
$ARTO knapa merah sendiri 😭,Arto memang lain dari pada yang lain🤣
"Ayok tebak - tebakan, abis makan siang saham ini $ARTO akan terbang atau makin nyungsep?

Kalau analisa saya, bakal nyebur ke air keruh ya. Kalau menurut kalian gimana?",Turun ke kaki gunung kembar.
" $ARTO support 2040
resist 2160-2170
close diatas 2170 hold
target 2250-2270",kmn aja dr 1000 ke 19 rb g masuk?
"Pihak yang menganggap ihsg underweight
Adalah pihak yang sama dengan pihak yang meramal $ARTO akan ke 21.000

Jadi tahu kan apa yang akan kita lakukan",saat nya masuk
"kalau $GOTO punya gopay & bank jago $ARTO, maka GRAB punya OVO & superbank dari grup $EMTK $IHSG"," superbank masih mentah, gk dpt kartu debit, gk bisa qris, tidak selengkap bank jago"
"$ARTO gue personally sangat optimis Bank Jago akan menjadi bank pilihan, khususnya untuk generasi muda yang melek teknologi. Fiturnya bagus! Bank Jago membantu gue nabung jutaan rupiah yang mana gue ga pernah berhasil 4 tahun belakang. Shout out to $ARTO Gue akan invest!",Kerja di bank BUMN tp pake dan simpan uang di bank jago wkwk
$ESSA enaknya masuk di berapa?,"Masih kemahalan segini, 500 pun sebetulnya msh mahal, RPS dan PBV ada di 350an"
"$ESSA akhirnya semua lot udah di jual abis 850 , perjalanan nya panjang , di 2023 udah sempat -40 persen waktu kena ARB 6x , lalu di AVG down pelan pelan sambil nunggu naik , akhir nya di April 2024 - Juni 2024 baru mulai TP , kalo abis ini masih naik ya gpp emang rejeki nya di 850 saja , nunggu koreksi nanti masuk lagi deh , terima kasih buat Yang Maha Esa dan $ESSA . 😁 😆"," $ESSA Nah ini contoh baik, TP di 850, bukan malah di HAKA 🤣🤣"
"SWING TRADING

$ESSA
Entry 750 - 800
CL 715
TP 900, 950",Essa sepertinya saat ini sudah membentuk double bottom ya om? Apakah dalam waktu beberapa hari kedepan bisa 900?
$GGRM harga sudah murah cepet beli ada pembagian deviden,"lapak ""drama"" kaya gini yg bikin film itu jadi seru 🤣"
$GGRM prospeknya gimana kira2 Pak??,long tren bearish
$UNVR  ALL TIME LOW SINCE 2009,saya juga nyangkut di avg 27rb an
$BMRI $BBNI Apakah bandar asing udah mulai masuk big bank lagi? Apakah ini udah uptrend dari perbankan big 4?," belum tentu, brkl cm.trik bandar...dinaikin, besok dibanting lg lbh dlm hahaha"
